model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.625,0.75,0.72,0.782608695652174,0.5024154589371981
RF,0.625,0.75,0.72,0.782608695652174,0.5024154589371981
KNN,0.625,0.75,0.72,0.782608695652174,0.5024154589371981
ADA,0.625,0.75,0.72,0.782608695652174,0.5024154589371981
