Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,562645.0636784125,533.2868347338936,-0.07044061693470294
Ridge Regression,571712.5316940952,532.6233603300897,-0.08769160993779934
Lasso Regression,572841.0709949249,532.5525423728814,-0.08983867277261282
Elastic Net,572841.0709949249,532.5525423728814,-0.08983867277261282
