model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.6875,0.8148148148148148,0.6875,1.0,0.5
RF,0.6875,0.8148148148148148,0.6875,1.0,0.5
XGB,0.6875,0.8148148148148148,0.6875,1.0,0.5
LGBM,0.6875,0.8148148148148148,0.6875,1.0,0.5
KNN,0.6875,0.8148148148148148,0.6875,1.0,0.5
ADA,0.6875,0.8148148148148148,0.6875,1.0,0.5
