Model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.5666666666666667,0.40992907801418443,0.32111111111111107,0.5666666666666667,0.5
RF,0.5666666666666667,0.40992907801418443,0.32111111111111107,0.5666666666666667,0.5
XGB,0.5666666666666667,0.40992907801418443,0.32111111111111107,0.5666666666666667,0.5
LGBM,0.5666666666666667,0.40992907801418443,0.32111111111111107,0.5666666666666667,0.5
KNN,0.6333333333333333,0.6312380952380953,0.6305555555555554,0.6333333333333333,0.6221719457013575
ADA,0.5666666666666667,0.40992907801418443,0.32111111111111107,0.5666666666666667,0.5
