Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,328202.55687499995,429.7683333333333,-0.030143843472518972
Ridge Regression,326606.0195195426,425.9559233670457,-0.025132721245872958
Lasso Regression,328198.6134146143,429.7596416666668,-0.030131465959445825
Elastic Net,324952.3705627818,421.077301054849,-0.019942340316815743
