Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,2.5500208162643097e+30,1558715881304672.2,-1.1765147950424838e+25
Ridge Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Lasso Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Elastic Net,216866.70297542063,369.4289560699103,-0.0005678501732679919
