Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,771603.4658800006,741.630913257668,-2.844281531288014
Ridge Regression,262167.4797687566,405.10412552389425,-0.3061703908106794
Lasso Regression,236147.64281957297,393.29018986113823,-0.17653440153114408
Elastic Net,223194.05780621525,376.6262501313388,-0.11199707137020787
