model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.6875,0.8148148148148148,0.6875,1.0,0.5
RF,0.65625,0.7755102040816326,0.7037037037037037,0.8636363636363636,0.5318181818181817
XGB,0.71875,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.6045454545454546
LGBM,0.65625,0.7924528301886793,0.6774193548387096,0.9545454545454546,0.4772727272727273
KNN,0.6875,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.5818181818181818
ADA,0.59375,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.5136363636363637
