model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.625,0.76,0.7037037037037037,0.8260869565217391,0.46859903381642515
RF,0.5625,0.7083333333333334,0.68,0.7391304347826086,0.4251207729468599
XGB,0.71875,0.8363636363636363,0.71875,1.0,0.5
LGBM,0.65625,0.7843137254901961,0.7142857142857143,0.8695652173913043,0.4903381642512078
KNN,0.53125,0.6938775510204082,0.6538461538461539,0.7391304347826086,0.3695652173913043
ADA,0.625,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.536231884057971
