Model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.71875,0.6011363636363636,0.5166015625,0.71875,0.5
RF,0.59375,0.565561224489796,0.5444711538461539,0.59375,0.44685990338164255
XGB,0.5625,0.5442708333333334,0.5289285714285714,0.5625,0.4251207729468599
LGBM,0.5,0.5136363636363637,0.5303030303030303,0.5,0.41545893719806765
KNN,0.5625,0.5175,0.47916666666666663,0.5625,0.391304347826087
ADA,0.46875,0.4881644518272425,0.5140625000000001,0.46874999999999994,0.393719806763285
