Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,1.736507671547008e+30,1264709484399134.0,-8.011805057626123e+24
Ridge Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Lasso Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Elastic Net,216866.70297542063,369.4289560699103,-0.0005678501732679919
