model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.625,0.7692307692307693,0.625,1.0,0.5
RF,0.625,0.7692307692307693,0.625,1.0,0.5
XGB,0.625,0.7692307692307693,0.625,1.0,0.5
LGBM,0.625,0.7692307692307693,0.625,1.0,0.5
KNN,0.625,0.7692307692307693,0.625,1.0,0.5
ADA,0.625,0.7692307692307693,0.625,1.0,0.5
