Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,1.5628569043930135e+29,138809577556510.08,-7.210624551866769e+23
Ridge Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Lasso Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Elastic Net,216866.70297542063,369.4289560699103,-0.0005678501732679919
