model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.71875,0.8363636363636363,0.71875,1.0,0.5
RF,0.6875,0.8076923076923077,0.7241379310344828,0.9130434782608695,0.5120772946859904
XGB,0.71875,0.8363636363636363,0.71875,1.0,0.5
LGBM,0.5,0.6363636363636364,0.6666666666666666,0.6086956521739131,0.41545893719806765
KNN,0.65625,0.7659574468085106,0.75,0.782608695652174,0.5579710144927537
ADA,0.59375,0.6829268292682927,0.7777777777777778,0.6086956521739131,0.5821256038647343
