Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,562645.0636784126,533.2868347338936,-0.07044061693470316
Ridge Regression,567552.0114091497,532.9035071160569,-0.07977615810486216
Lasso Regression,572841.0709949249,532.5525423728814,-0.08983867277261282
Elastic Net,572616.4162380457,532.5664860956648,-0.08941126375034414
