model,Accuracy,F1 Score,Precision,Recall,roc-auc
SVM,0.6875,0.8,0.7407407407407407,0.8695652173913043,0.5458937198067633
RF,0.6875,0.8,0.7407407407407407,0.8695652173913043,0.5458937198067633
KNN,0.6875,0.8,0.7407407407407407,0.8695652173913043,0.5458937198067633
ADA,0.6875,0.8,0.7407407407407407,0.8695652173913043,0.5458937198067633
