Model,Mean Squared Error,Mean Absolute Error,R2 Score
Linear Regression,1.4023452597351482e+31,3735327173813786.0,-6.470064617955208e+25
Ridge Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Lasso Regression,216866.70297542063,369.4289560699103,-0.0005678501732679919
Elastic Net,216866.70297542063,369.4289560699103,-0.0005678501732679919
